,word,label
10,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2078 181 9 1611 423 856 57 1001 2 67 318 6 35]",1
11,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1733 18 1147 338 665 38 37 14 21 1048 739 133 1518 379 599]",1
12,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 423 168 19 6 4 2291 344 8 34
 218 114 137 8 3 11 1002 2 1734 100 247 546 54 508 185 3 41 39 150]",0
13,"[0 0 0 2292 16 1735 6 1277 9 132 49 65 123 1 48 2293 14 88 40 277 161 504
 4 1049 1 302 88 10 29 12 223 146 146 809 88 74 161 9 740 2294 14 2 109
 200 753 10 29 18 7 6]",1
14,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2295 587 354]",1
15,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 439 14 40 754 3 5
 185 303 14 186 78 58 34 628 6 703 754 1 39 1050 31 147 13]",0
16,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 11 10 883 25 276]",0
17,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 248 1 2 2296
 1736 10 4 1876 4 629 58 4 150 25 1 107 116 1 45 3524 2947]",1
18,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 704 42 5
 49 884 1 4 23 1278 8 42 5 201 780 5 682 124 1410]",1
19,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3525
 3526 172 683 10 25 10 66 5 43 172 741 1 2948 7 20]",1
20,"[0 0 0 0 148 82 264 496 234 42 10 810 13 482 1339 10 29 12 105 18 20 260
 13 3527 199 260 22 2297 28 93 231 67 11 1519 62 158 8 12 2 14 8 12 23 431
 705 25 11 613 188 69]",0
21,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 971
 1 99 3528 2949 19 2 265 1 228 173 1097 413 5 6]",1
22,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1737 2584 1 781 1877
 74 885 1612 1737 2584 1 360 1737 1737 2584 1 2 54 1737 2584 1 1 1411 1612]",1
23,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 559 202 64 48 15 5 20 168 316]",1
24,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 208 4 684]",0
25,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 216 212 59 11 5 21 48 89 12 7 6]",0
26,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 17 15]",1
27,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 404 600 570 1
 2298 41 886 1878 258 189 10 29 23 18 6 45 258 2950 4 7 6 164]",1
28,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1340 1613 2]",1
29,"[0 117 64 614 61 74 3 5 21 17 155 2 73 30 128 3 24 235 7 6 154 23 685 30
 2079 3 5 21 9 782 51 26 6 154 9 80 721 117 37 3 5 91 37 3 5 26 385 4 972
 8]",0
30,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1520 132 11 32 8 72 11 224 1614 4]",0
31,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 783 47 209 60]",0
32,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 515 1 183 1879 14 1 3529 1880 857]",0
33,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 1051 1341
 274 1051 13 1341 59 99 9 291 2 52 19 94 2080 8 14 4 7 20]",1
34,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2585 473 3 547 21 148 93 264 48 15 39
 26 6 424 203 93 51 77 36 8 25 39 26 6 93 3 2 93 3 79 17 15 6]",1
35,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2586 41 17 31
 50 1 4 6 209 3530 40 887 9 12 2 755 42 20 3531 209 276]",1
36,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2587 38 742 1342 405 650 75 40]",1
37,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 3 5 43 3532 3533 16 148 9 560 29 18 6]",0
38,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 324 1 124 144 3 858]",1
39,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1279
 229 217 10 4 219 783 7 91 1343 529 1881 1280 7 91 1148]",1
40,"[25 124 811 5 1150 2953 11 32 39 38 48 48 1521 1149 49 1616 361 1 60 2953
 5 91 457 89 414 312 38 1281 19 2954 133 5 652 12 441 441 6 1617 98 548
 653 10 23 123 1 9 56 15 5 6]",0
41,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 101 52 19 1 65]",1
42,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 68 56 442 26 912 145 571 3534 18 6]",1
43,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3535 1052 1 2588 2589]",0
44,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1004 1739 7 91 197 509 38 4 149 50 13]",0
45,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 313
 109 89 25 3 2 141 37 372 28 9 4 203 141 37 33]",0
46,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2590 2591 64 36 78 413 510 28]",0
47,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 46 9 37 14 24 197 4 1413 3 5 21 165 135 13]",0
48,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 145 2082 51 117 247
 160 1 15 20 232 944 16 8 97 11 210 81 368 97 58 68 889 10]",0
49,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 686 890 4 1523 4 834
 415 1345 1281 362 64 15 82 1341 21 12 49 756 110 21 4 2592 1 26 6]",1
50,"[0 0 0 0 0 0 0 0 0 0 0 0 0 1524 2593 2 1618 340 110 42 5 20 9 141 330 451
 11 32 5 489 531 1414 971 8 89 5 20 146 42 65 123 1 9 722 835 2594 1 517
 26 4]",1
51,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 532 1
 3536 9 1216 1 9 18 338 3537 13 2 321 19 88 25 40]",0
52,"[0 0 0 0 0 0 0 0 345 490 168 330 18 49 47 330 685 11 32 2 220 192 2 2595 1
 161 244 1 650 75 59 2 723 99 14 119 9 161 891 158 2 518 1151 10 743 74 2
 325 10 425]",0
53,"[3538 1 363 913 120 1619 221 39 26 195 1608 1 339 1 68 47 65 48 162 7 20
 82 9 6 15 195 65 669 49 48 47 42 24 151 80 721 209 65 138 30 1 44 7 21
 914 65 308 15 5 20]",1
54,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 34 740 784 21 8 27 6]",1
55,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
 314 287 549 188 3 79 1346 13 9 386 1347 1 2952 129]",1
56,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45
 440 249 7 23 100 18 11 3539 48 1 42 10 615 7 21]",0
57,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 277 467 27 549 225 2295 84 1525 28]",1
58,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 836 3 1 4 81 1526 63 6]",1
59,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 3 2 54 3 2 54]",1
60,"[426 7 7 43 226 1527 600 79 3 2 54 11 201 62 134 39 271 67 360 17 31 1528
 2 12 26 1098 33 360 2083 1 193 629 193 2300 2083 1 95 629 8 64 67 221 46
 547 21 9 37 629 2083 6]",1
61,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 27 6 212 10 266 1620 10 29 18 6]",1
62,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 204 4 81 407 204 14 10 29 18]",1
63,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 687 13 601 2956 2596 2597 43 654 4 1282]",0
64,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 742 1005 2 12 7 113 2301 573 616 19
 11 32 113 70 573 2302 2957 19 182 8 2598 945 9 15 6 1 1882 2958 2 43 363
 135 6]",1
65,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 309 46 309 452 491 2303 654 202 81 520
 1 757 238 74 9 1740 12 1883 724 14 82 78 27 7 21 369 1152 1 82 214 111 10
 2959]",1
66,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 139 11 7 6]",0
67,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3540 8
 1884 55 34 16 56 6 2599 13 723 105 725 23 51 105 3541 521]",0
68,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 170 2600 114 56 687 13 99 14 11 32 414]",0
69,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 482 19 83
 98 9 373 270 220 99 253 2 52 25 4 1347 1 129 670 33]",1
70,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 173 892 337 259 8 82 49 365 15 7]",1
71,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 27 8 3 119 109 287 1 326 98 1529 758 1348 504]",0
72,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 15 2084 15 360 364 10 29 12 43]",1
73,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 44 16 973 28]",1
74,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 443 2 3 59 6 630 379]",1
75,"[0 0 0 0 0 0 0 281 2 54 92 140 1006 4 7 6 41 3 38 41 974 212 21 188 2085 3
 48 278 19 1 4 77 145 207 7 22 109 194 354 34 16 56 81 259 11 32 4 7 6 44]",1
76,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 303 1349 451 1]",1
77,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 975 45 810 331 1 140 1741 1 138 1
 1416 1885 11 32 9 629 29 18 140 35 13 1153 7 6 522 231 2086 1 93 3 915]",1
78,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 224 120 15 33 205 3 8 14 69]",1
79,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 338 398 859 24 55 1417 398 859 49 101 327
 325 70 15 5 43 39 26 108 4 323 8 548 2 631 8 64 2960 631 8 361 49 15 5 33]",1
80,"[261 71 756 98 50 1 575 362 1155 575 4 26 60 166 23 9 177 19 860 688 118
 48 291 11 11 32 5 211 54 195 152 159 453 1099 453 304 116 453 62 162 35
 168 19 475 242 23 9 247 160 727]",0
81,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 3546 1149 50 1 1532 337 60 350 262 1 4 7]",0
82,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 63 6 46 244 18 6]",1
83,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1744 50 1 786 2965 1 2091 533 634 2308 458 1352 893 2966 476]",0
84,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 27 22 1888 2967 635 22 254 93 3 5 22 168
 106 8 1008 214 75 5 22 16 9 15 5 22 744 861 9 1100 1100 254 468 3 2 54 22]",1
85,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 120 46 2 54 8 523 124]",0
86,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 346 16 99 9 894 158 946]",0
87,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 90 550 3547]",1
88,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2968 133 1154 1 2969 3548 8 341 43 236 176 2970 1 6]",1
89,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 759 19 1 34 757 19 56 1889 1740 12 152 16 1009]",0
90,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 220 1156 1156 34 859 24
 174 1 1418 19 1 56 3 220 1157 156 1157 11 742 298 558 154 636 2 1283]",0
91,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2603 602 862 45 2 2971 45 10 29 12 6]",1
92,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1098 1053 10 270 426 38 93 3 21 215 377 17 3549 230 3550]",1
93,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 134
 6 134 6 4 125 215 104 3551 839 1010 505 44 1419 6 44]",0
94,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 426
 11 1 2092 467 31 399 347 1 1890 3552 399 347 1 2309]",1
95,"[400 1098 787 1 107 72 2 54 453 207 2 54 77 48 366 30 3 1 26 6 1534 3 10
 377 237 2 313 17 107 116 2 89 1420 374 2 4 212 38 840 259 49 132 1 288
 505 221 4 76 54 6]",1
96,"[0 0 0 0 0 0 0 0 0 0 0 279 1892 19 68 1893 299 267 587 1746 50 1 506 141
 37 14 130 170 68 812 9 141 97 39 10 35 66 30 60 432 1894 1895 3554 1896 5
 813 3555 289 11 40]",0
97,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 186 2606 1284 2606]",0
98,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2607
 8 3556 1 9 2 12 9 2 3557 8 212 21 215 23 13]",0
99,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 17 27 8 31 3 5 22
 2608 9 16 31 313 121 16 17 31 108 241 241 71 237 24 9]",1
100,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 388 156 3 1354 1622 5 43 4
 324 54 43 483 3 30 157 5 2 140 388 157 5 6 45 2094 1216 1 634 1421]",1
101,"[2096 294 8 42 4 1424 3558 1425 1624 8 42 4 1424 672 8 42 4 46 2 4 1616 37
 50 1747 863 6 2973 30 153 894 760 2097 947 245 2 30 788 3558 788 1424 788
 286 45 638 1426 196 314 2311 6 2311]",0
102,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 3559]",1
103,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 385 4 617 24 9 135 1]",0
104,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 87 13 12]",1
105,"[0 47 491 171 51 1412 31 2 627 355 4 789 441 42 297 118 1 19 283 1748 283
 1159 9 78 2 655 19 1 8 78 195 1211 47 561 2 2974 51 587 64 1355 283 1748
 3 38 333 342 333 707 10 58]",1
106,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69 188 4 3
 1102 18 6 1 23 38 37 3 39 150 885 10 92 1749 13]",0
107,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 452 14 3 2 15 11 32 185 3 2
 51 77 48 3 8 2609 838 286 94 3560 498 2312 562 58 92 72 11 58]",1
108,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1356 364
 1 355 534 52 3561 13 2975 3562 26 4 7 33 140 284 11 33]",1
109,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 44 61 1148 292 162 69 34 9 1750 178 129 1750 13]",0
110,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 128 2 3 24 864 7 6 2976 788 4 2313 10]",0
111,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1625 7 729
 9 149 1054 687 2 917 1 65 46 9 37 14 101 35 498 16]",0
112,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1055 1 16 31 3 5]",1
113,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 277 129 506 292 841 31 3 2 28]",1
114,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 3 79 1897 1897 85 33]",1
115,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 760 1898 26 4 1535 26]",0
116,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 393 103 380 491
 278 19 1 60 1103 2 1536 1 186 588 684 25 484 10 2314 6 82]",1
117,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 8 67]",0
118,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2957 19 1 213 361 7 6]",1
119,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1004 4 1 25 10 148 317 31 1056 1 14 1 39 13 1899]",0
120,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 173 236 2977 66 417
 4 3 5 33 35 16 94 34 83 46 167 66 26 33 17 31 3 5 22]",1
121,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1007 2978 11 2978 75 8 1285 9 12 6]",1
122,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 364 10 57 131 364 40]",1
123,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 96 2315 833 7 33]",0
124,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 740 589 293 11 4]",1
125,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 52 427 2975 280]",1
